prompt,answer
"Even though the Tea Act of 1773 lowered the price of East India tea, the colonists opposed it primarily because",the price of the tea included a tax the colonists did not want to pay
Most European immigrants at the turn of the  nineteenth century passed through:,"Ellis Island, New York"
Henry Clay's proposal that Maine enter the Union as a free state and Missouri enter as a slave state was called,the Missouri Compromise
"In a 1906 speech, Theodore Roosevelt described a man with a muckrake who ""fixes his eyes . . . only on that which is vile and debasing."" His speech gave rise to the new word  muckrakers, referring to",investigative journalists
The only United States president who was not a member of a Protestant sect was,John F. Kennedy
"In the aftermath of President Kennedy's assassination, a commission was formed to review the  evidence and publish a report. The commission was headed by",Chief Justice Earl Warren
"The Fourteen Points, presented in January 1918, were",Woodrow Wilson's plan for building peace in the post-World War I world
White Southerners were opposed to Northerners who trav eled south after the Civil War to work for racial justice and/or make money.  They called these people:,carpetbaggers
"President James Monroe issued the Monroe Doctrine in 1823, warning European powers not to establish new colonies in the western hemisphere. This policy was supported by",England
The voyage that brought African captives across the Atlantic to the Americas and the West Indies is referred to as the,Middle Passage
Gifford Pinchot is associated with a movement that began in the nineteenth century and focused on protecting the country's natural  environment. Thismovement is called the,conservationist movement
"""Tippecanoe and Tyler, too"" was a campaign slogan in the presidential election of 1840. ""Tippecanoe"" refers to",William Henry Harrison
"Beginning in 1663 with Carolina, a second wave of colonization in British North America was facilitated by",the restoration of the monarchy in Britain and land grants in the New World from Charles II to his supporters
"Jazz, flappers, bathtub gin, red-hot flannels, speakeasies, and radio stations were all elements of the era known as",the Roaring Twenties
The first U.S. military response to a suspected  terrorist act came in 1986 when President Ronald Reagan ordered a bombing attack on which country?,Libya
Automation in the 1950s and 1960s brought about what two significant economic changes in the United States?,Reductions in farm employment and elimination of factory jobs
The U.S. pressured Cuba to accept the Platt Amendment in 1901. It made Cuba a protectorate of the United States. A protectorate is a,country that accepts U.S. protection in exchange for the right of the United States to intervene in its affairs
The Fifteenth Amendment tried to ensure the right of black men to vote. The first presidential election after the ratification of the Fifteenth Amendment  was in,1872
"The Spanish explorer Vasco Nunez de Balboa, the first European to cross the isthmus of Panama, saw a body of water he thought was the South Sea. It was actually the",Pacific Ocean
The route known as the Oregon Trail followed the Platte River,across the Great Plains to the Rocky Mountains and then into Oregon along the Snake River
Ralph Nader became prominent during the 1960s as an advocate for,consumer interests
"On March 12, 1933, President Franklin D. Roosevelt made a radio broadcast from the White House to explain his reasons for closing U.S. banks for a few days. This grew into a regular series of broadcasts that became known as",fireside chats
"The ""British Invasion"" of 1964 refers to",the introduction of popular British rock bands to U.S. audiences
"The first union of skilled workers, founded by Samuel L. Gompers in 1886, was called the",American Federation of Labor (AFL)
The first shots of the Revolutionary War were fired in which colony?,Massachusetts
"In The American Crisis, no. 1, Thomas Paine referred to ""the summer soldier and the sunshine patriot."" Whom did he mean?",People who had supported independence before the war but changed their minds once it began
Which of the following was NOT a primary aim of the Progressive movement of the early 1900s?,Making English the official language of the United States
The 1938 panic in which people thought that the earth was being attacked by hostile aliens from Mars was caused by a,radio broadcast of H. G. Wells's The War of the Worlds by Orson Welles and the Mercury Theater
"Why did the writer Gertrude Stein describe Ernest Hemingway, F. Scott Fitzgerald, and other artistic and literary Americans as a ""lost generation"" during the 1920s?",They were disillusioned by the experience of World War I.
"The Emancipation Proclamation of January 1, 1863,",freed all slaves in the Confederate States
"""From Stettin in the Baltic to Trieste on the Adriatic, an iron curtain has descended across the continent."" The phrase ""iron curtain,"" coined in 1947, refers to the",borderline between nations under Soviet communist influence and the rest of the world
Jane Addams opened Hull House in Chicago in 1889 for all the following reasons EXCEPT:,eliminating racial segregation throughout the city of Chicago
"""Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital and deserves much the higher consideration."" Which of the following would the speaker of this quotation most likely support?",Socialism
People in the United States lost confidence in  President Herbert Hoover primarily because,his policies did not bring about an economic recovery
The primary purpose of the Lewis and Clark expedition of 1804–1806 was to,search for a water route across North America from the Atlantic to the Pacific
Which of the following would give a historian the clearest insight into the reasons for the way the Constitution was written?,Minutes and transcripts of debates to the Constitutional Convention
Which of the following facts supports the theory that the War of 1812 brought about economic prosperity in the United States?,Trade embargoes forced U.S. manufacturers to expand operations.
What took place during the Saturday Night Massacre?,Attorney General Eliot Richardson and Deputy Attorney General William Ruckelshaus resigned rather than obey President Nixon's order to fire Special Prosecutor Archibald Cox.
"Which nation was NOT involved in the 1921 FourPower Treaty, an agreement to respect territorial claims in the Pacific?",The Netherlands
Which novel was a catalyst for reform in the meatpacking industry under President Theodore Roosevelt?,The Jungle by Upton Sinclair
African Americans moved west in large numbers after the Civil War for all the following reasons EXCEPT:,to take advantage of the opportunities offered by the Harlem Renaissance
Which of the following was NOT proposed in 1850 to the U.S. Senate as a compromise between proslavery and antislavery factions?,Division of Texas into two new territories: New Mexico and Utah
Which of the following most aptly supports the assertion that Native Americans have suffered the worst discrimination of all groups in U.S. history?,Congress did not grant universal U.S. citizenship for Native Americans until 1924.
"Which war did young Americans protest by burning their draft cards and draft notices, fleeing to Canada, and demonstrating against the administration?",Vietnam War
Which statement most aptly supports the theory that the Black Sox scandal of 1919 was a result of the exploitation of labor by management?,The baseball players were in effect indentured servants with no right to strike or to accept offers from other teams.
Which of the following is the correct chronological order of the three Civil War battles?,"Shiloh, Antietam, Gettysburg"
"""And the dispossessed, the migrants, flowed into California, two hundred and fifty thousand, and three hundred thousand. Behind them new tractors were going on to the land and the tenants were being forced off. And new waves were on the way,  new waves of the dispossessed and the homeless, hardened, intent, and dangerous."" The author of this quotation is describing",farmers leaving the Dust Bowl during the Great Depression
What was the most significant result of the Battle of Little Bighorn?,The U.S. Army redoubled its efforts to move Native Americans to reservations.
Everyday life in the United States changed after the Second Industrial Revolution in all the following ways EXCEPT:,The percentage of women working in offices declined as factory work opened up opportunities for women.
The Mexican-American War was caused primarily by,a border dispute between Mexico and Texas
The primary reason the Confederate Army lost the Battle of Gettysburg was that,the Union forces were able to hold the high ground northwest of Gettysburg
The earliest example of republican government in North America is the,Iroquois Confederacy
"As the Constitutional Convention ended, Benjamin Franklin commented about a half-sun with its rays painted on George Washington's chair that ""now at length I have the happiness to know that it is a rising and not a setting sun."" Franklin meant these words as",an expression of hope and optimism for the new government he had helped design
The Farmers' Alliance of the 1870s was founded with all the following goals EXCEPT:,supporting private ownership of national railroads
Pocahontas's friendship with the Jamestown colonists was historically important because she,encouraged trust and good relations between Native Americans and colonists
Which factor contributed most to the rise of membership in labor unions between 1915 and 1920?,The efforts of progressive reformers
Which event did NOT lead directly to the annexation of Hawaii as a U.S. territory in 1898?,Coronation of Queen Liliuokalani of Hawaii in 1891
What is the significance of the 54th Massachusetts Infantry regiment of the Union Army?,It was the first African-American regiment to play a major role in a military campaign.
Which of the following best supports the theory that the United States had imperialist ambitions as of the end of the nineteenth century?,The annexation of Hawaii in 1898
Spanish and Spanish-sponsored parties explored and/or settled all the following areas of North America EXCEPT:,the northern Atlantic coast
"Soon after World War I broke out in Europe, people in the United States became outraged against  Germany because of the 1915 sinking of the",Lusitania
The development of atomic technology affected daily life in the United States in all the following ways EXCEPT:,reinforcing the fear of former allies France and Great Britain
Which of the following is NOT guaranteed in the Bill of Rights?,The right to vote for all free males age 21 or over
"""Fourscore and seven years ago, our fathers brought forth on this continent a new nation, conceived in liberty, and dedicated to the proposition that all men are created equal."" To which of the following events is the speaker of this quotation alluding?",Signing of the Declaration of Independence
"""We believe that America had something better to offer mankind than those aims she is now pursuing....  She has lost her unique position as a potential leader in the progress of civilization and has taken up her place simply as one of the grasping and selfish nations of the present day."" The speaker of this quotation most likely opposed the",annexation of the Philippines
Congress passed the War Powers Act in response to the,Vietnam War
The 1783 Treaty of Paris granted the United States all the following EXCEPT:,the right to maintain a standing army in the former colonies
Which of the following made it possible for the United States to govern and control the Canal Zone in Panama?,The Hay-Bunau-Varilla Treaty
"""I think we came, without really knowing it, to make the memorial our wailing wall. We came to find the names of those we lost in the war, as if by tracing the letters cut into the granite we could find what was left of ourselves ...."" The speaker most likely is referring to the",Vietnam War Memorial
All the following people were key figures in the Watergate scandal EXCEPT:,Robert S. McNamara
"""Every nation, in every region, now has a decision to make. Either you are with us, or you are with the terrorists. From this day forward, any nation that continues to harbor or support terrorism will be regarded by the United Sates as a hostile regime."" These words most likely were spoken by which president?",George W. Bush
What was the connection between political machines of the late 1800s and the need for city services?,Political bosses often supported public projects.
"""Reformation must be effected; the foundation of southern institutions, both political, municipal, and social must be broken up and  relaid, or all our blood and treasure have been spent in vain. . . . Without this, this government can never be, as it has never been, a true republic."" The author of the above statement most likely opposed the",Black Codes
Which of the following women is NOT famous for her activities in wartime?,Susan B. Anthony
The maintenance of the peace and safety of the United States was the stated aim of the,Alien and Sedition Acts
"To which author did Abraham Lincoln jokingly say, on meeting her, ""So you're the little lady who started this great war""?",Harriet Beecher Stowe
Which of the following happened for the fist time during the presidential election of 1828?,"The voters, not the state legislatures, chose the electors."
Which president's domestic programs were collectively known as the Great Society?,Lyndon B. Johnson
Over which issue did Congress agree to permit or withhold statehood from territories that applied for it between 1828 and 1860?,Slavery
"At the time of the Louisiana Purchase, which country did NOT claim any land in North America?",Holland
The Reconstruction amendments affected the right to suffrage of,African-American voters 
"Which of the following authors was NOT a member of the ""Lost Generation""?",Jack Kerouac
Which of the following supports the thesis that George Washington was unique among U.S. presidents?,He was the universal choice for president among politicians of all parties. 
What did the Platt Amendment of 1902 establish?,Cuba's status as a protectorate of the United States 
What was one major purpose of the settlement-house movement of the 1880s and 1890s?,To provide day care for the young children of working parents 
Jackie Robinson's first appearance in a Brooklyn Dodgers uniform in 1947 struck an important blow for civil rights because he,proved to thousands of fans every day that there was no legitimate reason to exclude African American players from major league baseball 
Which two painters are considered the originators of a typically American style of painting?,Thomas Eakins and Winslow Homer
Which of the following journalists played a key role in the disclosure of criminal activity in the Nixon administration?,Bob Woodward 
The Lewis and Clark expedition set out with all the following purposes EXCEPT:,identifying appropriate sites for major cities to be founded and built 
"Freedom has many difficulties and democracy is not perfect, but we have never had to put up a wall to keep our people in, to keep them from leaving us. The speaker most likely made this speech during which of the following conflicts?",Cold War 
"Martin Luther King, Jr.'s, belief in a nonviolent approach to achieving civil rights for African Amer icans was influenced primarily by",Mohandas Gandhi 
The huge influx of European immigrants throughout the nineteenth century helped give rise to which of the following forms of entertainment in the United States?,Opera 
"All the following are included in the ""Four Free doms"" President Franklin D. Roosevelt described to Congress in 1941 EXCEPT:",freedom to overthrow a tyrannical government 
Which important legal principle did Chief Justice John Marshall establish in  Marbury v. Madison?,Judicial review 
"Which nineteenth-century author created the proto type of the strong, silent American hero of fiction and drama, who keeps his own counsel and relies only on his own judgment?",James Fenimore Cooper 
"The phrase ""conspicuous consumption"" was first used to describe the upper classes during the",1890s 
In what way was the purchase of the Louisiana Territory inconsistent with Thomas Jefferson's polit ical beliefs?,He believed the Constitution should be interpreted according to the letter. 
"What was the immediate U.S. response to the September 11, 2001, attacks on the World Trade Center and the Pentagon?",An invasion of Afghanistan 
Which treaty granted the United States full sovereignty over the Panama Canal Zone?,Hay-Bunau-Varilla Treaty 
"Promontory Point, Utah, is historically significant as the site of the",meeting of the Union Pacific and Central Pacific railroads 
Which of the following was the primary cause of the Boston Massacre?,Installation of British troops in Boston during peacetime
The Progressive movement of the early 1900s had all the following goals EXCEPT:,preventing racial segregation in American cities
"Our policy is directed not against any country or doctrine but against hunger, poverty, desperation and chaos. Its purpose should be the revival of a working economy in the world so as to permit the emergence of political and social conditions in which free institutions can exist. The speaker of this quotation most likely is referring to which of the following?",The Marshall Plan 
"To check the executive's power to veto a bill passed by Congress, the legislative branch of the government can",override the veto
"Which of the following did Woodrow Wilson's ""Fourteen Points"" speech to Congress NOT call for?",Restoration of the Russian monarchy 
"The survival of the fittest is simply the survival of the strong, which implies and would better be called the destruction of the weak. If nature progresses through the destruction of the weak, man progresses through the protection of the weak. The speaker of the above quotation most likely opposed",Social Darwinism 
Which of the following inventions was necessary to the success of the multistory skyscraper?,Elisha Otis's elevator 
"Follow the money, ""Deep Throat,"" and ""expletive deleted"" are all phrases associated with the",Watergate scandal that brought about the resignation of President Nixon 
"The 1921 Four-Power Treaty stated that France, Great Britain, Japan, and the United States would",respect one another's claims to territory in the Pacific 
All the following suggest that President Theodore Roosevelt did not support the interests of large corporations EXCEPT:,He allowed U.S. Steel to absorb the Tennessee Coal and Iron Company during the panic of 1907. 
Which of the following was NOT a cause of the Mexican-American War?,The Mexican siege of the Alamo
Which advantage did the Union NOT have over the Confederacy at the beginning of the Civil War?,"Superior, more experienced military leaders"
The late nineteenth-century revolution in industry and technology affected the nature of work in U.S. society in all the following ways EXCEPT:,The growth of industry meant increasing num bers of women left the workforce and returned to domestic work. 
The United States declared war on Germany directly after,publication of the Zimmerman Telegram in U.S. newspapers
Northerners who opposed the Civil War showed their opposition by,protesting the draft and starting antiwar riots with speeches and articles 
Patrick Henry showed his support for the cause of independence primarily by,making speeches against the British Crown 
"By the early 1930s, the U.S. film industry had made which of the following major changes?",From silent films to talking pictures 
[There is] a contest between the producing classes and the money power of the country. . . . Working men are entitled to a just proportion of the proceeds of their labor. Which of these men made this state ment in 1894?,Labor leader Eugene V. Debs 
The economy of the antebellum South was primarily dependent on,land and slaves 
The Anasazi are the ancestors of which Native American nation?,Pueblo 
The United States adopted neutrality laws in the 1930s as a response to the rise of which form of government in Europe?,Fascism
"This atrocious decision furnishes final confirmation of the already well-known fact that, under the Constitution and government of the United States, the colored people are nothing and can be nothing but an alien, disenfranchised, and degraded class. The speaker of the above quotation probably was reacting to which of the following Supreme Court decisions?",Dred Scott v. Sanford 
Which one of the following men did NOT succeed to the presidency when the president under whom he served was assassinated?,Franklin D. Roosevelt 
Which of the following American regional novelists is known for his or her stories of the Great Plains states?,Willa Cather 
Brigham Young is significant in U.S. history because he,led a migration of Mormons to settle in the territory of Utah in the late 1840s 
"Which of the following was a 1912 Olympic competi tor called at the time ""the greatest athlete in the world""?",Jim Thorpe 
The emphasis of the Great Awakening of the mid-1700s was on individual salvation by,faith in the absolute power of God 
All the following have been traditional targets of Ku Klux Klan violence EXCEPT:,Lutherans
Which new technology had the most profound effect on U.S. society in the 1980s?,The personal computer
Which quote below is from Thomas Jefferson's first inaugural address?,"We have called by different names, brethren of the same principle. We are all Republicans, we are all Federalists. "
"See to it that every man has a square deal, no less and no more was Theodore Roosevelt's 1904 campaign promise to","limit trusts, promote public health, and improve working conditions "
The Supreme Court's decision in Brown v. Board of Educationmade it illegal to,segregate public schools by race 
The usual reaction of the stock market to a political crisis is,a fall in stock prices and an increase in selling 
"Beware, commies, spies, traitors, and foreign agents! Captain America, all loyal free men behind him, is looking for you. This quotation refers to a",comic book superhero
The success of which of these nineteenth-century inventions was a direct result of the growth of the railroads?,Telegraph 
A two-thirds majority in each house of Congress and a national convention called by Congress at the request of two-thirds of the state legislatures are the two ways of initially,proposing an amendment to the Constitution 
"During the Age of Exploration, Christopher Columbus and other explorers planned their voyages by studying the charts of geographers and",astronomers 
The temperance movement began in the 1820s as an attempt to,persuade people to limit their consumption of alcohol
Which of the following was NOT created or passed under the New Deal?,Civil Rights Act 
In which state did no Civil War battles take place?,New York 
"All the following statements about the mill workers of Lowell, Massachusetts, in the 1840s are true EXCEPT:",Most of them came from wealthy families. 
All the following foreign travelers to the United States wrote famous books on their observations of American society EXCEPT:,Oscar Wilde
"During the Kennedy administration, the United States was involved in armed hostilities with all the following countries EXCEPT:",North Korea
"The cry ""Remember the Maine!"" is associated with the",Spanish-American War 
How did the colonists react to the passage of the Tea Act of 1773?,They drank only tea that had been smuggled in from Holland. 
Why did the Pony Express last for only 18 months?,The completion of the transcontinental tele graph system made the Pony Express obsolete. 
What was the purpose of the colonial committees of correspondence?,To keep the public informed of British violations of colonial rights 
The impact of the Smoot-Hawley Tariff of 1930 was,high tariffs that contributed to a global economic downturn in the 1930s 
The Star-Spangled Banner was composed during the War of 1812 and celebrates the survival of,Fort McHenry in Maryland 
"The term ""dogfights"" refers to what kind of fighting in what war?",Aerial combat in World War I
Dwight D. Eisenhower was elected President in 1952 on his promises to,"boost the economy, reform government, and end the Korean War "
President Jimmy Carter created the Department of Energy in 1977 primarily in response to the,skyrocketing price of foreign oil
All the following were activists for the ratification of the Nineteenth Amendment EXCEPT:,Harriet Beecher Stowe 
"The American colonists dubbed all the following meas ures of Parliament the ""Intolerable Acts"" EXCEPT:",the Stamp Act
All the following are Mesoamerican cultures EXCEPT:,the Sioux
The Monroe Doctrine states that the United States will,view any attempt to colonize Latin America as hostile toward the United States 
What caused the United States to agree to sign the Atlantic Charter with Great Britain in 1940?,Germany's conquest of Belgium and France 
Which source would give a historian the most accurate information about race relations in the Mississippi Valley in the years after the Civil War?,Records of local and state laws of the region
Which of the following was an important cultural symbol of the 1920s?,Bathtub gin 
What does the rise in U.S. manufacturing during the War of 1812 suggest about that war's effect on the U.S. economy?,The economy prospered as people in the United States became less dependent on imports. 
"Which colony wrote the 1776 resolution stating that ""these united colonies, are, and of right ought to be, free and independent states""?",Virginia
The Proclamation of 1763 required which of the following?,That fur traders obtain permission before settling in the territory west of the Appalachian Mountains 
Why did the Iroquois decide to throw their support behind Britain near the end of the French and Indian War?,"The Iroquois accurately predicted that the British would win the war, and they did not want to side with the losers. "
Which region of the country did NOT vote heavily for Abraham Lincoln in the election of 1860?,Southeast 
"At the time of the Louisiana Purchase, all the following countries claimed territory in North America EXCEPT:",Holland 
"The civil rights leader Martin Luther King, Jr., advo cated and practiced nonviolent protests in the manner of",Mahatma Gandhi 
American colonists opposed the Tea Act for all the following reasons EXCEPT:,the high price of tea from the East India Com pany compared to other tea available in America 
The Missouri Compromise proposed that,the United States remain evenly balanced between slaveholding states and free states 
". . . if I had thought of it at all I would have thought of it as a thing that merely happened,the end of some inevitable chain. It never occurred to me that one man could start to play with the faith of fifty million people-with the single-mindedness of a burglar blowing a safe. Author F. Scott Fitzgerald was referring to the",fixing of the 1919 World Series
The Northwest Territory included which present-day states?,"Wisconsin, Michigan, Illinois, Indiana, and Ohio "
The  Federalist Papers were written to persuade people to support the ratification of the,Constitution 
I have here in my hand a list of 205 that were known to the Secretary of State as being members of the Communist Party and who nevertheless are still work ing and shaping the policy of the State Department. This statement began a brief period in U.S. history that became known for,McCarthyism 
Which major legal precedent was established in the Supreme Court case Marbury v. Madison?,The Supreme Court would have the right to decide whether a law was constitutional and to strike it down if it was not. 
"Elizabeth Cady Stanton, Carrie Chapman Catt, and Alice Paul are all famous for leading the fight for",woman suffrage 
"The ""Hollywood Ten"" were",scriptwriters who were blacklisted in Holly wood for refusing to answer questions posed by the House Un-American Activities Committee 
"Because they investigated the seamy underside of U.S. business and society, some journalists of the first decade of the twentieth century were known as",muckrakers 
Which U.S. president ordered two atomic bombs dropped on Japan in 1945?,Harry S. Truman 
What did President Richard Nixon do to bring about the Saturday Night Massacre?,Ordered the attorney general to fire the special prosecutor who was investigating the administration 
"The stock market crash of October 29, 1929, had all the following effects EXCEPT:",More and more people began buying on credit because there was a shortage of cash.
"When President Andrew Jackson stated that he wanted to expel all Native Americans from the United States because he was concerned for their safety, all the following facts suggest that he was not sincere EXCEPT:",The Five Civilized Tribes of the Southeast had developed societies similar to the European ones that had invaded and conquered their lands.
All the following factors combined to cause the high death rate in the Triangle Shirtwaist Company fire EXCEPT:,A large strike by women's shirtwaist makers in 1909 began at the Triangle Company.
Which president's domestic and foreign policy pro grams were collectively known as the New Frontier?,John F. Kennedy 
All the following were important figures in the civil rights movement of the 1960s EXCEPT:,Jim Crow
In which present-day state did the Union Pacific meet the Central Pacific to complete the first trans continental railroad?,Utah
Industrialization developed slowly in the South for all the following reasons EXCEPT:,There was no way to transport cotton upstream to the Northern textile mills. 
Which of the following was NOT a factor in ending the cattle boom of the late 1800s?,The U.S. government set aside some of the best grazing land for displaced Native American tribes. 
All the following facts support the thesis that the Puritan society in New England was a theocracy EXCEPT:,Only men were allowed to be ministers. 
Upwards of 100 gallons of spirits were poured not down people's throats but on the sand and I believe there is now none in the place. This statement most likely describes the actions of a,temperance advocate 
"The ""gag rule"" of 1837 prevented which issue from being discussed or debated in the House of Representatives?",Abolition 
All the following facts about the Fugitive Slave Act of 1850 inspired many Northerners to take an active role in the fight against slavery EXCEPT,Northerners resented being forced to obey the Dred Scott decision without getting something in return. 
The Five Civilized Tribes forcibly ejected from the Southeast under the Indian Removal Act included all the following EXCEPT:,Osage
Malcolm X championed African-American sepa ratism and the use of violence in self-defense in a movement known as,black nationalism 
What was the main purpose of the naval blockade of the South during the Civil War?,To prevent shiploads of imported goods and supplies from reaching the people of the South 
The Haymarket Riot of 1886 had all the following effects EXCEPT:,Union membership immediately skyrocketed in protest.
All the following are classic novels of U.S. partici pation in war EXCEPT:,Hiroshimaby John Hersey
"After being hunted like a dog through swamps, woods . . . till I was forced to return wet, cold, and starving, with every man's hand against me, I am here in despair. And why? For doing what Brutus was honored for.... This diary entry most likely was written by which of the following?",John Wilkes Booth 
President John F. Kennedy did all the following to oppose the spread of communism in the world EXCEPT:,work with the cabinet on a plan to invade the Soviet Union 
Which advantage did the Confederacy have over the Union at the beginning of the Civil War?,"Superior, more experienced military leaders"
The Freedmen's Bureau accomplished all the following EXCEPT:,Supervised polling places so that African Americans were ensured of the right to vote 
All the following happened as a direct result of the Boston Massacre EXCEPT:,Thomas Hutchinson disbanded the Massachusetts legislature. 
"It had been, to say the least, an interesting and chal lenging situation. The two most powerful nations of the world had squared off against each other, each with its finger on the button. The speaker of the above quotation probably is referring to which of the following?",The Cuban missile crisis 
A historian researching the immediate effects of the Intolerable Acts on the American colonies probably would find the most accurate information in a diary written by which of the following?,Abigail Adams 
Which of the following major U.S. enterprises enjoyed an exemption from antitrust legislation?,Major league baseball 
Which of the following led Congress to reduce immigration quotas in 1921 and again in 1924?,Communism 
"This man, although he many not actually have com mitted the crime attributed to him, is nevertheless morally culpable, because he is an enemy of our existing institutions. Which of the following was sent to his death by the judge who spoke these words at his trial?",Bartolomeo Vanzetti 
Which is the correct chronological sequence of these three Revolutionary War battles?,"Brooklyn, Trenton, Brandywine "
All the following reforms were enacted during the presidency of Woodrow Wilson EXCEPT:,"the Twentieth Amendment shortening the ""lame duck"" period "
By what name were the Intolerable Acts of 1774 known in Great Britain?,Coercive Acts 
All the following were aspects of the Union's military strategy to win the Civil War EXCEPT:,establishing a military alliance with Great Britain and France
Which would be the best source material for a histo rian who wanted to write a biography of John Quincy Adams?,"Adams's personal papers, such as diaries and correspondence "
Millions of people whose parents or grandparents had never dreamed of going to college saw that they could go....  Essentially I think it made us a far more democratic people. To which of the following does the above quotation refer?,The GI Bill of Rights 
Why did neither John Adams nor Thomas Jefferson take part in the Constitutional Convention of 1787?,Both were representing the United States on diplomatic missions in Europe. 
Who was the first African-American to publish a book?,Phillis Wheatley 
Which of the following wrote a multivolume auto biography describing the pioneer experience in the Midwest in the 1870s and 1880s?,Laura Ingalls Wilder 
The 1870s and 1880s saw a flood of European immi gration to the American West for all the following reasons EXCEPT:,the ease of getting rich quickly without effort
During the Revolutionary War the U.S. Army had help from allies from all the following nations EXCEPT:,Italy
"The thin disguise of 'equal' accommodations for passengers in railroad coaches will not mislead anyone, nor atone for the wrong this day done. Justice John Harlan wrote the dissenting opinion quoted above at the conclusion of which Supreme Court case?",Plessy v. Ferguson 
Which of the following is NOT a nonfiction book of the 1950s warning people in the United States to pay attention to pressing issues confronting postwar society?,How to Succeed in Business without Really Trying by Frank Loesser
What did the Gulf of Tonkin Resolution state?,The United States would take military action in response to a supposed Vietnamese attack on a U.S. destroyer. 
"Stop them pictures. I don't care so much what the papers write about me. My constituents can't read. But they can see pictures. Which of the following was William Marcy ""Boss"" Tweed complaining about in this statement?",Political cartoons 
All the following were key Southern victories in the Civil War EXCEPT the Battle of,Antietam
Which constitutional amendment represented the ultimate goal of the temperance movement?,"Eighteenth, banning the manufacture, sale, or transport of alcoholic beverages "
"In which Supreme Court case did the Court rule against the plaintiff on the grounds that African Americans were ""beings of an inferior order"" who did not qualify as U.S. citizens?",Dred Scott v. Sanford 
A government program introduced under President John F. Kennedy that sends U.S. volunteers to work in developing countries for two years is called,the Peace Corps 
Which of the following territories was NOT part of Spain's colonial explorations in the 1500s?,Delaware
The Twenty-First Amendment to the Constitution is unique among the amendments because it,repeals another amendment 
The Virginia Statute of Religious Freedom of 1779 stated that,government control over religious beliefs or worship was tyrannical 
Matthew Brady is known for,photographing the dead lying on Civil War battlefields
"Which of the following measures taken by President Franklin D. Roosevelt's administration brought aid to a rural area plagued by flooding, malnutrition, and poverty?",Tennessee Valley Authority 
The Treaty of Ghent was signed in which country?,Belgium 
The House Un-American Activities Committee inves tigated which of the following during the 1950s?,Suspected communists 
The Constitutional Convention of 1787 met with the goal of strengthening and improving the,Articles of Confederation 
The Spanish-American War was fought in,the Philippines and Cuba
Third-party presidential candidate Ross Perot entered the 1992 presidential race as,a billionaire businessman from Texas 
Which of the following represents an attempt by the Hoover administration to combat the effects of the Great Depression?,The public-works construction of the Boulder Dam
"President Abraham Lincoln was assassinated by John Wilkes Booth, a member of a American family that was prominent in the field of",theater
George Washington chose Christmas night to cross the icy Delaware River and capture Trenton because,he surmised that the Hessians guarding Trenton would not be prepared for an attack on Christmas morning 
"Early explorers such as Columbus, Verrazano, and John Cabot hailed from Italy but sailed under the sponsorship of another European nation. Which of the following best explains this inconsistency?",The Italian city-states had no interest in estab lishing colonies in the New World. 
The change in U.S. society in the period between 1820 and 1844 is best explained by which of the following statements?,"Control of business and government by the well-born gave way to a society based on the economic success of ""self-made"" men. "
"In The Grapes of Wrath, John Steinbeck describes the fortunes of a family forced out of Oklahoma by the ravages of the",Dust Bowl 
"Hawks and ""doves"" were nicknames given to those who supported and opposed which war?",Vietnam War 
"The  Susan Constant, the Godspeed, and the Discoverywere",ships that brought the English settlers to Jamestown 
"Which of the following permitted ""any citizen or intended citizen to select any surveyed land up to 160 acres and to gain title to it after five years' resi dence"" if that person cultivated the land?",Homestead Act
"The term ""political machine"" refers to",a well-organized political party that domi nated a city government 
The Twenty-Seventh Amendment to the Constitution which deals with Congressional pay raises was ratified in,1992
Which of the following explains the central role of the Catholic Church in Spanish exploration?,King Phillip II's  Royal Orders for New Discoveries commanded the conversion of Native Americans to Catholicism. 
"In 1916, which government organization was established to supervise government-owned nature preserves and monuments?",National Park Service 
A large African-American neighborhood in New York City gave its name to an artistic development of the 1920s known as the,Harlem Renaissance 
"You knock over the first one, and what will happen to the last one is a certainty that it will go over very quickly. This statement by Dwight D. Eisenhower became known as the",domino theory 
It possesses treasures . . . equal to those of any region of the continent. William Seward made this statement to describe which piece of land that he had purchased from which country?,Alaska from Russia
Which of the following was NOT one of the four major labor strikes of 1919?,Pullman strike 
All the following authors wrote about the history and experiences of African-American women EXCEPT:,Jamaica Kincaid 
The conference held between the U.S. government and the Plains tribes of Native Americans in 1851 resulted in which of the following?,The tribes agreed not to migrate freely throughout the Plains anymore. 
"It has been done for the sake of political power, in order to bring two new slaveholding senators upon this floor. The senator who made the above statement was referring to the passage of the",Kansas-Nebraska Act 
Which of the following philosophers had the strongest influence on the framers' decision that the Constitution would require a government with three branches and a balance of power among them?,Montesquieu 
The Supreme Court decision in the case of Dred Scott v. Sanford stated all the following EXCEPT:,Only individual states could decide whether a slave could become a citizen.
"The scriptwriters known as the ""Hollywood Ten"" were blacklisted by the movie industry because they",refused to answer questions asked by the House Un-American Activities Committee 
The Triangle Shirtwaist Company fire resulted in all the following EXCEPT:,The U.S. congress passed the Elkins Act and the Hepburn Act. 
Bartolomeo Vanzetti and Nicola Sacco were con victed of the crime of,murder 
The GI Bill of Rights altered U.S. society by,making it possible for millions of veterans to attend college 
All the following are classic American autobiogra phies EXCEPT:,The Red Badge of Courage by Stephen Crane
